text,airline_sentiment,label
reason delay departure vx jfk afternoon,negative,0
day iad cvg iad cancelled flightled united airlines operating friend stuck miss intl flight help,negative,0
cancelled flightled flight unknown reason really given anything make overnight layover tolerable,negative,0
thanks guys got heading milan wednesday big week aa family,positive,1
awesome staff check desk paper airplane race sw gift card keep ppl entertained delays,positive,1
lost bags cant reach human delivery driver says give us carseat return loaner hv loanr help,negative,0
fact get notified hindered ability look alternate flights snapped,negative,0
got drink f sat jump seat crosswords glasses picked landing lazy service first class,negative,0
would helpful could refresh boarding time info boarding passes delayed flights,negative,0
right good caught mechanical failure bad blankets ok,negative,0
wanted say flight attendant fitz best tonight flight bwi bos great guy made flight fantastic,positive,1
left ipad flight erw den opened claim many memories plz help get back,negative,0
leave tarmac united gate agent cannot agree head count min counting people max epicfailunited,negative,0
dtw lag flight cancelled flightled notice given voucher dirty hotel food vouchers apology,negative,0
gate team polite planes habitually late flight many cases passengers waiting flight crew,negative,0
thanx first rodeo done amp done yesterday results comm unless u count status bags lost amp claim filed,negative,0
called regarding bag came yesterday one notified updated online record locator customerservice,negative,0
meals also us company care customers truly disgraceful,negative,0
crew tonight outstanding god bless medically trained passengers board,positive,1
use confirmed upgd cert gave b c decided sell anyone biz seat bother giving,negative,0
sent,negative,0
really someone called sick someone forgot call replacement hour late flight take theworst,negative,0
make sure tell everyone know around horrible experience also post business page,negative,0
alright thank much appreciated,positive,1
robocalls another cancelled flightation accept change let connect agent wow,negative,0
st x told travel advisory two hrs hold amp disconnected fl bhm charlotte phl go help,negative,0
want one,positive,1
horse radish,negative,0
brian sfo customer service deserves raise gave extra meal voucher good joke cheer flight delay ftw,positive,1
flight connect,negative,0
would nice pull gate still sitting,negative,0
thanks good us military folk cold stlouis sure enjoyed flight,positive,1
believe united find someone simply check seat back missing passport loved united debating choice,negative,0
u guys changed ages double booked seats even though platinum person none,negative,0
waited min got disconnect,negative,0
customer service agent bonnie amazing phone deserves promotion,positive,1
seem likely bc team failed scan bag lax recycle bagtag numbers help usairwaysfail,negative,0
would good know months ago cancelled flightled flights leaving tomorrow telleveryone jetblue neveragain,negative,0
im trying call book reward ticket one world partners automated system wont let talk great job,negative,0
reduction e k longer confirm e forget upgrades want legroom unitedfail,negative,0
sos bag,negative,0
trying change flight due nyc travel advisory online system cancelled flighted entire flight hold hr,negative,0
changed flight bna ahead weather slammed cost diff weather advisory really,negative,0
get free mimosa compensate flight delay yet thx,negative,0
luckily disinfectant wipes job welcome badservice,negative,0
hi bked cool birthday trip add elevate cause entered middle name flight booking problems,negative,0
thank cancelled flighting flight last minute course gis missing one full day trip thanks,negative,0
delayed delayed palm beach need head westchester give info,negative,0
still sucks understand two cust service agents long line houston international b gate unitedsucks,negative,0
sorry unfollowing,negative,0
done want send screen shot second call minutes,negative,0
global first class lounge ord menu yummy,positive,1
paid flight wifi austin san diego useable possible get refund conf x xvm,negative,0
still crickets customer service,negative,0
thanks go motions shortly flight yesterday wonder quickly flight attendants notified,positive,1
feel completely cheated read commitment customer service via website def get service suggested,negative,0
thanks hire car chicago drive mke mean go airport,negative,0
rebooked flt monday get voucher hotel never us airways,negative,0
waited airport two days get home weather relate flightd dealt horrible customer service finally switched,negative,0
thx managed figure trying diff confirmation booked annoying readily available,negative,0
thanks see soon,positive,1
den phx flight tomorrow cancelled flighted asked overnight nite lax sna told without paying wrong,negative,0
upset cannot select seats tuesday flight online phone terrible customer service please help,negative,0
drop fee rt makes sense eu airlines charge charges reasonable,negative,0
excited saw fly ionlyflyblue,positive,1
worst airline ever staff nasty wifi bags delayed due weather belt broken selling ual stock,negative,0
would awfully nice could send alert flight cancelled flighted text email love,negative,0
waiting nitrogen struts airport nozzle calibrated trying find another,negative,0
told ticket expired never recvd notice expired sucks paid k miles amp tckt,negative,0
want deal customer service agents practical knowledge provide direct contact,negative,0
flight cancelled flightled monday looking cancelled flight credit card,negative,0
hey yesterday im still hold,negative,0
remained hold hrs resolve flight schedule amp system hung unhappycustomer,negative,0
longing look blue eyes firstlove,positive,1
flight booked heading california team march wait expowest,positive,1
joke hang customers,negative,0
plans changed u call bein able park time planes w hr layover n b able make ur connection seriously,negative,0
yesterday way ewr fll take wheelsup jetbluesofly,positive,1
ua iah gt sjo delayed like hours crazy,negative,0
katie gate c denver international fantastic customer service helping new flyers thx amazing staff,positive,1
agents ones rude unhelpful prompted initial tweet easy fix,negative,0
sent dm file reference number want know someone located bag even yet,negative,0
despite mother nature best efforts good humored folks got us home safely area heavily affected winter storms,positive,1
called able get rescheduled thank quick responses today,positive,1
jumping gun cancelled flighting flights could made snow cancelled flightlations ridiculous,negative,0
dca bos cancelled flightled making us wait hour fly usair every week upgrade status proactively,negative,0
frustrating flying experience one continuous dunno time leave today dunno code,negative,0
lax almost mess reason express bag drop slower full service line,negative,0
thanks would better gate agent c charlotte boarding flight,positive,1
would nice could talk agent rather get caught w promotion amp hung,negative,0
push rebook number,negative,0
yet flight attendant argued exec plat benefits,negative,0
bags yet palm springs airport lax come beat bags,negative,0
thx checking never got via phone hold hour long long wait hold ugh csfail,negative,0
brother amp family stranded clt tonight bc gate e agent hold plane two minutes driving bad weather,negative,0
waiting callback eight hours much longer,negative,0
suppose customers enjoy screaming toddlers problem someone complains,negative,0
flight delayed hour pilots spend hours phone get ep agent phone,negative,0
still heard thing,negative,0
appreciate sentiment able get ground still missed connection,positive,1
care mighty dollar,negative,0
probably going miss connection charlotte drive home funeral,negative,0
stingiest airline nobody model ptfo cheap bastards stingy,negative,0
safety dos ts announcer flight midway mdw pittsburgh pit,positive,1
process recovering car rental condo rental florida called united alternate flight noanswer,negative,0
book flight reserved seat go check find seat wtf,negative,0
course fun celebrating thanks happy chinese new year,positive,1
would board ppl plane b turn de ice would ppl wait hour long process,negative,0
agents arguing check bag announcement looked room seat gave walked back seat unnecessary,negative,0
would love help getting today ewr take airline connections thx,positive,1
gate agent routed impossible itinerary find new airline get us home super bummed,negative,0
would awesome experience destinationdragons,positive,1
broke stroller wife baby gate checked told problem calling list preferred line,negative,0
ever lost luggage infant year old customer service never answered phone tried night,negative,0
seriously want wait hours flight prepare family funeral,negative,0
thx customer service rep alex patient help reflight booking problems cancelled flighted flight getting us tmrw,positive,1
happy trying get home cancelled flighted flight amp hold hours help crazy,negative,0
toss ticket great pr sure every college student following willing rock wit,positive,1
review systems notification website telephone systems place clearly inadequate,negative,0
nope really window f one one none sad,negative,0
missed funeral take train back newark,negative,0
look like talked customer service,negative,0
going nightmare guys yesterday zero response tweet last sent,negative,0
thanks us hang tampa airport forever today really awesome experience,positive,1
instead tweeting customers apologizing pick phone,negative,0
also way speak someone phone hanging day,negative,0
love passbook update used day released finally thank,positive,1
hours hold safe say one working,negative,0
informed reimburse issues due weather flights keep getting cancelled flightled thor hates,negative,0
wifi onboard far superior pricing performance user perceived bandwidth late flightncy recent experiences,positive,1
late flight phoenix gave ticks away arrived chicago held bags hostage chicago rented van drove toledo hr drive,negative,0
drop bag overnight amp leaving week supposed hold bag,negative,0
best case point happybirthday,positive,1
landed lax hour late flight bag check business travel friendly nomorevirgin,negative,0
sent dm hours ago,negative,0
hold hours flight tomorrow really expect sleep night stay hold,negative,0
luggage broken youcouldntmakethis brokenwheel,negative,0
fyi twice tried call someone free thing times called picked hung,negative,0
good grief flight cancelled flightled hold since,negative,0
patient especially first time never fly,negative,0
understand flight day going twice extra meds diapers baby,negative,0
merger cluster inefficiency misinformation going done,negative,0
thank holding apologize delay answering call speak representative please continue hold,negative,0
hey happening aa zurich jfk appears squawked landed london heathrow,negative,0
half hour wait unreal finally first bag coming sju needs work,negative,0
pedophile airline split yr old daughter rows apart flight boston,negative,0
u gears grinding jfk baggage office told need bring bag back right close claim,negative,0
learned although travel policy waive change fee still charged reservation fee,negative,0
received flights united truly breaks guitars unitedbreaksguitars wantmymoneyback,negative,0
oh united much despise thee,negative,0
company see passengers customers,negative,0
excuse though gate changes though,negative,0
terrible service three airports hours glad care kind need home sellmypointssoon,negative,0
rude unreliable horrible company equally rude unreliable horrible employees stay tuned,negative,0
lines may extra long security slow seems employees quick blame customers arrive hours ahead,negative,0
love new planes jfk lax run maybe one day one amenities function nocharge ever,positive,1
telling cancelled flighting flight,negative,0
especially death family still solution hours counting thanks,negative,0
baggage tracking system,negative,0
thanks made,positive,1
flight hour long one best flights ever kudos flight crew airline general,positive,1
could please send phone refunds department submitted claim email without success,negative,0
ten hrs late flightr still army cots airport waiting flight poorlyhandled usairheads,negative,0
thank finally made destination,positive,1
beyond frustrated call back auto hold whatever call entered number cst still call,negative,0
awesome customer service rdu snuck wife warm cookie thx,positive,1
number agent gave call says open main number goes computer saying delivered,negative,0
yes yes yes glad headed home,positive,1
people working counter dca massive lines poorly played winterstorm,negative,0
color confused would need call update procedures policies see connecting,negative,0
flight four hours plane ground bwi,negative,0
applied status match feb got confirmation email day still news though guys dropped ball late flightly,negative,0
cancelled flightled two flights miami nashville yesterday could get flight days southwestairwasthere,negative,0
thank prompt assistance,positive,1
flight tv flight back seated together b maybe fault still fun,negative,0
guys work never fly guys,negative,0
delayed getting yelled attendants bother getting worse,negative,0
nicole quito airport took great care us week handled lost baggage seat changes professional nice pat back,positive,1
disappointed lack compassion baggage services dept nearly beg get courtesy report,negative,0
need change flight cs telling take call change online please help flight week,negative,0
considering stuck newark virtually sleep hours doubt hope car rentals available,negative,0
lhr arrival lounge fail waited mins shower left find hotel u know many passengers u carry planning,negative,0
apparently substitute pilots flight bos fll found info avail counter,negative,0
another dead end handle aa l amp f gave failed already vm full lost,negative,0
worst customer service denver,negative,0
pleasantly surprised boarding flight time morning good job,positive,1
one great airline,positive,1
bicycles lbs criteria free bikes automatically way faq page clear,negative,0
another awesome telephone experience thank cory greatcustomerservice,positive,1
update flight three hours delayed thank,negative,0
got bad exchange rate want money back please refund without penalty,negative,0
put next flight available tomorrow morning idea bna open morning flight,negative,0
phone system working bumped times need get mco,negative,0
ok top things lost luggage could get worse unitedairlines,negative,0
seat assignment mins flight line people deep guess sitting baggage,negative,0
thank much asking us pay switch different flight could spend time dying nephew,negative,0
happened u get us home next day flydelta flysouthwest flyjetblue theyareallbetter stillnobags,negative,0
please get luggage onto carousel logan airport able go home,negative,0
soon going wait time gate empty msp airport flight min still counting,negative,0
make world better place visit elderly relative,positive,1
speak real person get resolved politely efficiently,negative,0
completed case still say progress paypal website reserved th,negative,0
great service pbi hpn thanks,positive,1
another delayed day delayed outbound delayed inbound waiting ewr gate ready ready,negative,0
checkin system poor,negative,0
captain turned seat belt sign people get walk around good,negative,0
point baggage claim ticket scan tracking,negative,0
u miss first leg ur flight pay hundreds keep second leg much keep earned miles,negative,0
seems like queue times high q waiting agent almost hour flight got cancelled flightled,negative,0
owes tammy winston salem call center keeping customer,positive,1
go airline much say care see much right suck,negative,0
thx response finally got min wait talked someone,positive,1
ua ewr mco feb wifi never connected allowed purchase access twice amp charged need file claim,negative,0
hold hrs waiting talk someone pulse get cancelled flighted flight rescheduled sop,negative,0
wifi stays connected lifetime higgs boson,negative,0
pm flight fll phl connection man however delays might miss go earlier,negative,0
excited flying syracuse interview dallas friday fa position goal amp dream mine,positive,1
supposed take almost hours ago vacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze,negative,0
duh done bag whereabouts unknown greeeaat,negative,0
delayed flight six hours missed international connection extra night hotel still pay lb surfboardbag,negative,0
perfect thank,positive,1
shavon customer service desk charlotte fantastic helpful smiling evn sounds like long day reward,positive,1
hour delay double booked seat nit parked wrong gate incompetence finest waiting hr,negative,0
pushing hours hold priceless,negative,0
sent email customer service night happened ur response basically bad sorry contact u,negative,0
please stop spending mktg branding ads use savings improve cxp hr wait luggage due short staff unacceptable,negative,0
first time flying united also last time terrible back branson virginatlantic unitedairlines,negative,0
address issue hold min speak agent,negative,0
husband supposed fly rdu iad iad fra leaving hours cancelled flighted flight hr wait phone,negative,0
fat man stuck airplanes bathroom,negative,0
poor customer service unacceptable also bout surfer front website noloveforsurfers pretend,negative,0
well sorta r trying get aquadilla pr flight goes day booked ua cancelled flighted flight nj,negative,0
sent dm existing reservation one responded,negative,0
big properly manage flight times thing time least prepared gate land,negative,0
misunderstood would day flight change gate agent said,negative,0
worst customer non service sure,negative,0
spent hour morning hold w customer support want confirmed flight taken care,negative,0
thank service credit positive thoughts,positive,1
rebooked one late flight,negative,0
consistency denver agents say standby checked baggage citing faa website policy says otherwise time switch,negative,0
us air ppl anywhere phl directed stranded pax kudos phl employees getting work midnight help got,negative,0
stewardess really funny could get gent next use headphones would perfect flight,positive,1
still patiently waiting response complaint email fri normal response time,negative,0
good job cle tpa schedule inches snow,positive,1
one scan inside plane asked people line around plane going,negative,0
human contact mths cust relations refund dept ever problem u humans talk,negative,0
along passengers repeatedly asked southwest personnel taking long luggage,negative,0
advantage deactivated think deactivate customers acct without knowledge help,negative,0
thank left ipad plane filled lost found form yall found shipped back thank flysw,positive,1
strikes strongly suggest live tweet ordeal media team appreciates updates,negative,0
flight chicago houston hours pretzels peanuts seriously passed,negative,0
every city nationwide sale fabulous fares nothing buffalo except cities,negative,0
hey guys due horrible customer service issues way get checked bag credit,negative,0
coming hrs gate leaving without baggage swa nightmare,negative,0
great land jfk,positive,1
tweet canned impersonal responses though impatient customer got,negative,0
jh going process refund wifi asking receipt never received email guys whacked credit card,negative,0
feeling,negative,0
boarded ua refused carrying overhead bag space plane loads space fail customerexperience,negative,0
wonderful thing,positive,1
iad jfk still boarded today excuse gonna get work,negative,0
deleted tweet one wonderful employees swooped help faith restored one good ones,positive,1
really letter says discuss serving drunks drinks help current situation,negative,0
help cancelled flightled flight like book another flight hold minutes counting,negative,0
love taking backyard consumers win biz competes,positive,1
announce boarding chose limit catering point run shows lack planning imo,negative,0
agree frequent tweeter discount could fly see friends,positive,1
flight tomorrow idea rescheduled fix online talk agent yet one answers,negative,0
look another apology fly,negative,0
finding bc rebooked us airline realized get us home ord,negative,0
flights hrl limited route,negative,0
pls help get resolved amp reimbursement made gracias rico pls send private msg phone number email address,negative,0
flight san fransico jfk evacuated,negative,0
flight den jfk already hrs delayed idea might change due weather forecast etc,negative,0
flying manchester international philadelphia getting emails delays information connecting flights,negative,0
row flight today looking specifics run home depot wd need,negative,0
hi wanted see new routes planned year newark love flying guys hope,positive,1
offered complimentary drink switching seats stewardess asked age amp said giggled goodgenes ilookyoung,positive,1
soon possible boarded plane st time still started,negative,0
ya need work online checkout system two bank transactions one ticket bush league yell devs,negative,0
worst airline time,negative,0
mention sit airport hours ruined trip happy want compensation,negative,0
leave luggage baggage claim without previous information deal,negative,0
think come take nap terminal,negative,0
apparently mechanics flown fix planes assuring sign,negative,0
got new reservation tomorrow thanks,positive,1
really flight catch pm vegas praying miss flight,negative,0
received error online hold hours completely unacceptable,negative,0
overall experience flying friendly,negative,0
see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue,negative,0
cover rental car refund ticket gladly drive hrs home stuck till tues,negative,0
flight omaha chicago en route nyc seating partner separate please fix res ilc hp,negative,0
flight cancelled flightled mess ensued please thank awesome marcos concierge key gru sorting,negative,0
lost basket ballbag plane,negative,0
cool,negative,0
baggage claim already changed x recent bags come stop claim team idea going,negative,0
get new planes got plane still tarmac ru going compensate,negative,0
cell phone record needs checked see conversed trust faa handle better,negative,0
point say counter clearly see site aa agent loss words,negative,0
would prefer similar picture full e tails great shot,positive,1
thanks airline ruined bag refuse anything,negative,0
sign screen major mobile issues responsive design working properly nexus,negative,0
yeah sale fares got places fly oh damn right live swa fly,negative,0
yes lost whole day frustrating poor customer service,negative,0
thanks much,positive,1
sorry united able keep word cuz totally inadequate still says customer fault,negative,0
need cancelled flight one leg flight seem online hold phone minutes help,negative,0
hold change date ticket hours someone please assist unacceptable,negative,0
hold times call center bit much,negative,0
got paying extra sit way back awesome never,negative,0
friendly engaging personable handled clarifying questions baggage fees well took interest,positive,1
flight stranded tarmac chicago gates available plane getting hot uncomfortable,negative,0
please help rebooked incorrectly flight cancelled flightled please fix flt tuesday,negative,0
course yeah travel gotten harder ask passengers switch fact attitude,negative,0
rtw planner spec circle pacific let even plan demo routes website,negative,0
even leave airport sent bags philadelphia,negative,0
last flight cancelled flightled hours change light bulb sitting waiting maintenance unreal,negative,0
thank blowing vacation get anywhere today make reservation also lost bags mine,negative,0
face palm cannot believe last hrs hrs sleep,negative,0
vipliveinthevieyard first time tried redeem pts anything really go well disappointed,negative,0
announcement extra baggage find empty bin aisle back baggage seat row agents argueing,negative,0
another delayed united flight surprised upset mostly disappointed cancelled flight trip dad,negative,0
hosting party terminal atlanta peanutsonaplatter,positive,1
able change flight without fees oh two free checked bags best airline ever,positive,1
going bdl dca flights yesterday today every single one getting delayed,negative,0
would way wether delayed yet love charlotte ice storm good luck mad customers,negative,0
customer service brutal,negative,0
arrive plane sitting needs take wish someone would tell us holdup,negative,0
flight delay due pilots oversleeping apparently uncontrollable irregularity eligible delay compensation,negative,0
answer phone change flight plans srsly,negative,0
hey thanks helping miss buddies th bday guys really trashy company shouldhaveflowndelta unitedsucks,negative,0
nd time row flight jfk disaster last time allowed fly stndby hour delay w notification,negative,0
breastfeeding momma watching story country better work faster response,negative,0
requested online refund option denied saying ticket used hope understand problem approach,negative,0
seats assigned inappropriate child age aa knew age child,negative,0
frustrating indeed especially one knows issue,negative,0
flight cancelled flighted tomorrow hold times long cancelled flight leg,negative,0
grand total landing getting bag one hour sad,negative,0
voucher past trip delayed thought talk someone phone use true,negative,0
correct spent hours trying book online receive error clicking final purchase button,negative,0
thanks kevin team f ish phl great service recovery tonight appreciate,positive,1
filled airport part long day made longer,negative,0
always go happened airbus boeing customer service,negative,0
yet complained guy checked luggage throwing bags around unfortunate coincidence hope,negative,0
flight dallas sfo cancelled flighted get anything else tomorrow put,negative,0
landed safely everything worked,positive,1
yes response,negative,0
yoga tv service seems though look forward much,negative,0
min hold drove hours get delayed bag want pick sju,negative,0
since jan flights disrespect clt flt pm feb dca asked herba question,negative,0
wonderful flight attendant named leah us lga den den anchorage,positive,1
ua admit clue flight leave denver unfriendlyskies,negative,0
also hold minutes customer service find new flight scheduled bc site sucks,negative,0
thank easy itinerary shift impending weather quick painless amp free,positive,1
sent dm thanks incredibly happy fast response got via twitter via customer care thank,positive,1
moms careers day trip la intuitlife leanin southwestairlines,positive,1
bad getting memo reservation contains modifications prevent changing online fusturated,negative,0
thanks checking,positive,1
cab ride dfw love got bag reimburse,negative,0
hour hold times moment counting disgrace,negative,0
confusing receive trip around corner email already cancelled flightled flight,negative,0
yall going bankrupt inflation really bad days went overweight fees outrageous,negative,0
well fix missing buddies th bday negligence attempt make,negative,0
seem impossible contact anyone airline get item left board plane min deplane,negative,0
min avoidable non weather delays appreciation link better giving goldentickets,negative,0
hour flight fll ewr waiting hour plus bags sign yet gives,negative,0
answer bloody phone,negative,0
one flights instead lost bags add insult injury,negative,0
best seat e board early ready set go,positive,1
really fudgin delays justwantmybed,negative,0
option cancelled flight want change flight want cancelled flight,negative,0
trying hours get hold someone,negative,0
iphone app sort notifications option,negative,0
understand delay stuck plane longer flight unacceptable,negative,0
part bag drop inserted jetblue cc print pass agent standing front refused print pass,negative,0
need go yyz tmr morning switched united already bag still aa la la land,negative,0
fll lga getting old th flight weeks th significant delay,negative,0
want hang plane day traveling get work done turn right back around unacceptable,negative,0
r rebooked got conflicting info abt baggage extra plane batteries hand comped admirals club hr wait,negative,0
thanks info quick response,positive,1
gives delayed hours mco jfk every time,negative,0
brothers luggage lost copa airlines flight competing sunday panamerican cross country cup please help,negative,0
would love say much hs flight internet personal c yr old plane nofunatall,negative,0
tried getting help agents phone twitter fb one american airlines help,negative,0
bag mexico go build house amp suitcase never got flight cle w need san,negative,0
int l friendly,negative,0
trying check tomorrow flight website keeps timing,negative,0
come home day late flight find guys lost luggage,negative,0
completely wasted work day thank bad service bad friday,negative,0
changed depart pm amp pm amp capt got plane find smoothie pm ass,negative,0
ua feb point overselling flights bad making people wait hr kick boarding worse,negative,0
due expensive change fees either airlines chose could screw us stranded help,negative,0
booked first class curbside delivery hours counting teamusa,negative,0
going flight many free trips get epic inconvenience,negative,0
concerned close club paid alot last flight p construction going inconvenient,negative,0
wow guys answer people wow care love jet blue,positive,1
return flight scheduled wednesday aa believe thanks help,positive,1
tyvm usair happy night lt,positive,1
app says flight ua zrh departed hrs late flight hours late flightr still seating inside plane iad failed,negative,0
noservice good luck trying reach human twice sat hold mins neveragain,negative,0
telling man theres flights next hrs standby nothing options trying get sick child firevan,negative,0
eventually given flight memphis taken original flight bc checked father,negative,0
thanks gent phone fixed bos mco flight fee waiver flyfi forget name,positive,1
thanks took care called,positive,1
also family crisis amp charge full price flights plus change flights even emergencies,negative,0
nothing mother nature like poor commutation,negative,0
employee gate min boarding like u expect ur customers competent company like ur rivals,negative,0
original receipt lists flight cost ish reflect use voucher,negative,0
brandi zabsonre denver deserves raise bringing delight terrible travel situation big ups,positive,1
guys need educate employees pink tag stop losing guitar thousandth time,negative,0
please keep emily gso airport ticketing staff amazing,positive,1
thanks,positive,1
thank fixing hour delay,positive,1
found footage happy,positive,1
thank u reach response yet lost found goes straight vm,negative,0
changing flights explanations still confirmation disappointed service,negative,0
customer service fail todays experience ensure best never utilize,negative,0
award travel ticket cannot since different last name simply need change,negative,0
hawaii get somewhere warm amp find good flyitforward,positive,1
one workers refused give name reference notes tone amp language unprofessional,negative,0
fantastic support twitter team appreciate thanks,positive,1
hold hour speak customer service rep heck southwest customerservice,negative,0
gave tickets see saturday even right haha thank,positive,1
sorry late flight responded dm,negative,0
help united paid economy plus flight changed bc delay automatically refunded,negative,0
get cancelled flightled hours take,negative,0
real dedication amp concern apologies fix issue miserable issues past mos,negative,0
thanks,positive,1
ridiculous clt missed connecting flight chuckhole runway shameful,negative,0
ok pilots looking agents jumped flt dfw crazy,negative,0
thank margo houston bush intercontinental getting home earlier,positive,1
dmed thank,negative,0
thanks making vacation worth currently waiting runway another hour deplane,negative,0
almost days still frozen thanks doll,negative,0
know use twitter bro terminal looks like bosnia another pic,negative,0
dtv doesnt work pilots late flight wont let yr old fly next paid upgrade unitedsucks,negative,0
told tough break unacceptable even tell bags,negative,0
frustrating paid get refund,negative,0
need speak real person flight cancelled flightled explanation hold hours,negative,0
refused unload luggage stuck freezing weather w cold weather clothes,negative,0
gate long time gonna miss connection mdw ack,negative,0
first airline use applepay flight airlines,positive,1
usually raving service lax nbr helper figure hang coat serve drink f,negative,0
flew back w company since united didnt earlier flight,negative,0
thanks used phone instead computer worked thx,positive,1
k problem getting fll iah sent dm making connection please let know,negative,0
considered adding call back someone free feature support line,negative,0
knew hours sounded odd missed flight hit jfk hour early gate attendant told us,negative,0
deeply disappointed birthday promo applied trip booked mere days received email,negative,0
also great tweet complainers person help need robyn f manch useless,negative,0
flights booked saying wait tomorrow,negative,0
still waiting reply,negative,0
chances cancelled flighting flights nashville,negative,0
